first_name,last_name,gender,date_of_birth,time_entered,time_modified
Todd,Morgan,M,3/19/2009,7/22/2014,6/7/2014
Thomas,Dunn,M,7/2/2000,7/22/2014,1/9/2014
Sean,Reynolds,M,10/31/1998,7/22/2014,2/16/2014
Bruce,Alvarez,M,12/21/2001,7/22/2014,7/23/2013
Henry,Rose,M,6/22/2001,7/22/2014,10/10/2013
Carl,Williams,M,3/3/2001,7/22/2014,2/1/2014
Louis,Peters,M,12/26/2008,7/22/2014,5/28/2014
Todd,Hunt,M,11/8/2002,7/22/2014,12/1/2013
George,Ramirez,M,2/7/2003,7/22/2014,5/27/2014
Shawn,Ortiz,M,1/22/1998,7/22/2014,7/15/2014
Kevin,Hall,M,2/17/1997,7/22/2014,7/5/2014
Bruce,Holmes,M,8/2/2003,7/22/2014,4/23/2014
Eric,Lawrence,M,10/1/1997,7/22/2014,11/5/2013
Gregory,Myers,M,1/10/2001,7/22/2014,6/16/2014
Harold,Burke,M,7/3/1996,7/22/2014,1/10/2014
Henry,Rose,M,8/18/2007,7/22/2014,12/21/2013
Ralph,Gomez,M,9/3/1999,7/22/2014,3/16/2014
Billy,Ellis,M,6/15/2002,7/22/2014,12/19/2013
Craig,Boyd,M,1/17/2002,7/22/2014,11/16/2013
John,Murphy,M,4/5/2000,7/22/2014,12/19/2013
Matthew,Scott,M,6/7/2007,7/22/2014,11/10/2013
Timothy,Martinez,M,9/7/2004,7/22/2014,1/11/2014
Larry,Burke,M,12/6/2004,7/22/2014,1/3/2014
Carl,Ellis,M,1/30/2006,7/22/2014,1/4/2014
Joseph,Foster,M,11/6/2002,7/22/2014,12/30/2013
Jerry,Williamson,M,2/12/1997,7/22/2014,2/23/2014
Martin,Hall,M,12/12/2002,7/22/2014,2/3/2014
Dennis,Thomas,M,12/12/2002,7/22/2014,12/18/2013
Roy,Jordan,M,4/2/2008,7/22/2014,8/29/2013
Alan,Freeman,M,8/28/2003,7/22/2014,10/28/2013
Mark,Dean,M,8/18/2002,7/22/2014,5/22/2014
Lawrence,Simpson,M,3/5/2009,7/22/2014,11/25/2013
Wayne,Bennett,M,2/14/1997,7/22/2014,9/30/2013
Scott,Howell,M,4/7/2006,7/22/2014,5/4/2014
Clarence,Day,M,6/14/2002,7/22/2014,2/11/2014
James,Willis,M,2/28/1999,7/22/2014,6/8/2014
Mark,Scott,M,6/22/1999,7/22/2014,8/13/2013
Martin,Andrews,M,11/17/2006,7/22/2014,4/24/2014
Jason,Watson,M,3/24/1999,7/22/2014,2/17/2014
Mark,Bryant,M,3/11/1999,7/22/2014,9/25/2013
Kevin,Armstrong,M,11/5/2002,7/22/2014,3/7/2014
Andrew,Evans,M,3/25/1998,7/22/2014,11/13/2013
Samuel,Bennett,M,4/26/2005,7/22/2014,4/30/2014
Raymond,Webb,M,10/13/2003,7/22/2014,1/17/2014
Victor,Hawkins,M,6/24/2008,7/22/2014,9/7/2013
Roy,Torres,M,9/27/2008,7/22/2014,7/25/2013
Russell,Brooks,M,9/30/2004,7/22/2014,4/21/2014
Frank,Garza,M,10/24/2003,7/22/2014,9/13/2013
Paul,Gibson,M,10/31/2005,7/22/2014,8/24/2013
Eric,Martin,M,9/9/2006,7/22/2014,9/26/2013
Douglas,Foster,M,4/14/2001,7/22/2014,2/10/2014
Scott,Bell,M,5/27/1998,7/22/2014,12/3/2013
Robert,Johnston,M,6/29/1999,7/22/2014,2/2/2014
Eric,Mccoy,M,1/28/2009,7/22/2014,5/14/2014
Douglas,Hanson,M,12/14/2006,7/22/2014,9/30/2013
Timothy,Frazier,M,11/18/1998,7/22/2014,8/14/2013
Bruce,Owens,M,1/30/2004,7/22/2014,7/11/2014
Benjamin,Hall,M,1/24/2002,7/22/2014,12/19/2013
Samuel,Rodriguez,M,7/22/1999,7/22/2014,9/4/2013
Charles,Bennett,M,3/2/1997,7/22/2014,1/2/2014
Mark,Hudson,M,3/20/1997,7/22/2014,2/3/2014
Terry,Arnold,M,9/6/2006,7/22/2014,8/6/2013
Nicholas,Gibson,M,9/11/2004,7/22/2014,3/29/2014
Roger,Diaz,M,12/2/2003,7/22/2014,11/10/2013
Phillip,Anderson,M,10/16/2003,7/22/2014,9/29/2013
Eugene,Snyder,M,12/15/2002,7/22/2014,10/23/2013
Clarence,Gonzalez,M,7/10/2008,7/22/2014,10/21/2013
Harry,Shaw,M,1/25/2000,7/22/2014,10/31/2013
Juan,Thomas,M,9/19/2006,7/22/2014,2/15/2014
Jason,Knight,M,1/31/1999,7/22/2014,12/31/2013
Richard,Greene,M,7/31/1999,7/22/2014,3/22/2014
Christopher,Turner,M,7/13/2007,7/22/2014,3/21/2014
Donald,Griffin,M,8/13/1998,7/22/2014,4/10/2014
Jerry,Montgomery,M,11/16/2001,7/22/2014,10/18/2013
Ronald,Smith,M,10/27/1999,7/22/2014,8/29/2013
Nicholas,George,M,1/25/1997,7/22/2014,3/22/2014
Wayne,Fuller,M,3/19/1998,7/22/2014,8/1/2013
Willie,Cook,M,1/27/2001,7/22/2014,1/1/2014
Adam,Robertson,M,9/22/2003,7/22/2014,2/5/2014
Antonio,Long,M,3/18/2006,7/22/2014,5/14/2014
Terry,Schmidt,M,3/26/1999,7/22/2014,12/19/2013
Carl,Bradley,M,5/27/2001,7/22/2014,5/18/2014
Fred,Miller,M,10/7/2000,7/22/2014,9/5/2013
Timothy,Gilbert,M,11/20/2001,7/22/2014,9/2/2013
Justin,Gilbert,M,2/11/2000,7/22/2014,4/30/2014
Frank,Morris,M,11/27/2004,7/22/2014,10/6/2013
Russell,Duncan,M,4/28/1997,7/22/2014,4/7/2014
Clarence,Snyder,M,12/17/2004,7/22/2014,4/4/2014
Aaron,Lopez,M,12/19/2000,7/22/2014,10/28/2013
Russell,Jordan,M,4/7/2004,7/22/2014,8/25/2013
Eric,Young,M,9/13/2000,7/22/2014,9/17/2013
Earl,Lee,M,8/27/2000,7/22/2014,9/17/2013
Billy,Perry,M,6/23/2004,7/22/2014,6/22/2014
Timothy,West,M,3/4/1998,7/22/2014,9/17/2013
Walter,Hunter,M,10/3/2006,7/22/2014,5/28/2014
Peter,Moore,M,2/1/1998,7/22/2014,4/28/2014
Charles,Fernandez,M,6/20/1998,7/22/2014,9/30/2013
Justin,Gilbert,M,4/22/2003,7/22/2014,5/16/2014
Fred,Elliott,M,11/8/2005,7/22/2014,1/8/2014
Joe,Fowler,M,11/13/1998,7/22/2014,1/26/2014
Michael,Kennedy,M,6/17/1996,7/22/2014,4/16/2014
Raymond,Howard,M,7/14/2007,7/22/2014,11/3/2013
Fred,Crawford,M,12/13/1998,7/22/2014,8/24/2013
Shawn,Nelson,M,6/19/1998,7/22/2014,5/8/2014
Lawrence,Garcia,M,11/7/2006,7/22/2014,8/4/2013
Patrick,Nelson,M,8/1/2006,7/22/2014,8/8/2013
Todd,Stone,M,9/1/2007,7/22/2014,5/16/2014
Sean,Fernandez,M,12/20/1999,7/22/2014,5/24/2014
Ralph,Foster,M,6/13/1996,7/22/2014,10/6/2013
Phillip,Reed,M,6/19/2005,7/22/2014,11/16/2013
Justin,Woods,M,3/12/1999,7/22/2014,1/29/2014
Harold,West,M,10/14/2001,7/22/2014,2/13/2014
Antonio,Ramos,M,1/29/2006,7/22/2014,12/15/2013
Eugene,Crawford,M,6/15/1998,7/22/2014,2/8/2014
Bobby,Butler,M,10/3/2002,7/22/2014,1/20/2014
Ralph,Reynolds,M,3/3/1998,7/22/2014,10/29/2013
Juan,Watson,M,7/1/2001,7/22/2014,9/15/2013
Daniel,Scott,M,5/3/2000,7/22/2014,4/19/2014
Jonathan,Gray,M,7/20/2001,7/22/2014,9/27/2013
Clarence,Thomas,M,8/31/2003,7/22/2014,11/28/2013
James,Willis,M,12/11/2002,7/22/2014,6/5/2014
Thomas,Cook,M,10/24/1999,7/22/2014,3/11/2014
David,Bowman,M,7/6/2004,7/22/2014,7/23/2013
Edward,Lewis,M,11/24/2004,7/22/2014,9/22/2013
Harry,Reyes,M,6/30/2000,7/22/2014,3/11/2014
Victor,Gonzalez,M,9/23/1996,7/22/2014,9/25/2013
Johnny,Black,M,5/4/1996,7/22/2014,7/29/2013
Shawn,West,M,6/8/2008,7/22/2014,6/8/2014
Willie,Perkins,M,8/29/2005,7/22/2014,7/6/2014
John,Lee,M,1/15/2002,7/22/2014,6/1/2014
Billy,Franklin,M,8/29/2000,7/22/2014,9/5/2013
Keith,Daniels,M,10/4/1999,7/22/2014,11/27/2013
Albert,Stevens,M,1/10/2007,7/22/2014,8/20/2013
Bruce,Butler,M,5/23/2005,7/22/2014,8/16/2013
Gregory,Wood,M,3/1/1998,7/22/2014,11/19/2013
Justin,Kelley,M,6/2/2004,7/22/2014,12/24/2013
Stephen,Hall,M,7/6/1998,7/22/2014,1/28/2014
Alan,Henry,M,12/31/2000,7/22/2014,4/16/2014
Donald,Moore,M,7/1/2004,7/22/2014,3/1/2014
Scott,Wright,M,11/9/1997,7/22/2014,6/29/2014
Billy,Pierce,M,10/22/1996,7/22/2014,2/9/2014
Harry,Alvarez,M,4/8/2008,7/22/2014,3/10/2014
Jose,Scott,M,8/30/1996,7/22/2014,8/21/2013
Jeremy,Russell,M,10/30/1998,7/22/2014,6/20/2014
Jesse,Stephens,M,11/1/2001,7/22/2014,10/31/2013
Aaron,Murphy,M,8/10/1996,7/22/2014,2/25/2014
Edward,Ryan,M,6/3/2006,7/22/2014,9/25/2013
Juan,Harper,M,5/21/2007,7/22/2014,3/1/2014
Phillip,Harris,M,1/26/2007,7/22/2014,9/16/2013
Clarence,Adams,M,12/13/1999,7/22/2014,1/30/2014
Douglas,Perkins,M,8/19/2001,7/22/2014,6/27/2014
Gerald,Dixon,M,11/10/2003,7/22/2014,1/6/2014
Steve,Miller,M,12/3/2008,7/22/2014,5/6/2014
Dennis,Kim,M,5/5/2008,7/22/2014,9/27/2013
Christopher,Richards,M,10/13/2003,7/22/2014,2/11/2014
Walter,Hansen,M,5/14/2003,7/22/2014,7/31/2013
Bruce,Bell,M,1/17/2001,7/22/2014,11/29/2013
Antonio,Murphy,M,10/9/2005,7/22/2014,3/8/2014
James,Ramirez,M,8/5/2000,7/22/2014,6/27/2014
Gregory,Oliver,M,6/6/1998,7/22/2014,3/10/2014
Craig,Fields,M,9/13/2006,7/22/2014,11/8/2013
Johnny,Ortiz,M,8/21/1999,7/22/2014,5/19/2014
Ryan,Hunter,M,6/5/1998,7/22/2014,2/5/2014
Jeffrey,Sanders,M,7/17/1999,7/22/2014,4/3/2014
Thomas,Cunningham,M,8/20/2006,7/22/2014,4/11/2014
Jimmy,Perez,M,6/18/2005,7/22/2014,11/7/2013
Jesse,Johnson,M,11/29/2007,7/22/2014,1/20/2014
Howard,Martinez,M,9/4/2002,7/22/2014,5/4/2014
Ryan,Boyd,M,4/28/2004,7/22/2014,11/21/2013
Carlos,Lawson,M,5/18/2001,7/22/2014,1/19/2014
Mark,Carpenter,M,6/15/2005,7/22/2014,11/7/2013
Fred,Hicks,M,11/25/2002,7/22/2014,1/23/2014
Jack,Payne,M,12/12/2000,7/22/2014,7/6/2014
Randy,Young,M,10/11/2004,7/22/2014,5/16/2014
Jeremy,White,M,1/26/2000,7/22/2014,8/17/2013
Thomas,Knight,M,8/4/2004,7/22/2014,10/13/2013
Mark,Snyder,M,4/10/2006,7/22/2014,12/12/2013
Christopher,Banks,M,3/25/2005,7/22/2014,11/14/2013
Kenneth,Freeman,M,3/9/2001,7/22/2014,11/14/2013
Craig,Hunt,M,1/7/2008,7/22/2014,5/24/2014
Jerry,Edwards,M,9/8/2003,7/22/2014,11/23/2013
Peter,Cooper,M,7/12/2005,7/22/2014,10/23/2013
Earl,Reynolds,M,3/29/2008,7/22/2014,7/26/2013
Jimmy,Torres,M,7/15/2000,7/22/2014,8/10/2013
Aaron,Cruz,M,8/6/2008,7/22/2014,1/9/2014
Billy,Parker,M,6/13/2003,7/22/2014,3/6/2014
Benjamin,Foster,M,1/24/2007,7/22/2014,4/13/2014
Justin,Garza,M,3/18/2008,7/22/2014,5/22/2014
Paul,Burton,M,9/20/1999,7/22/2014,5/10/2014
Jimmy,Chavez,M,7/19/1998,7/22/2014,12/1/2013
Jeffrey,Lawson,M,5/8/2001,7/22/2014,10/24/2013
Willie,Mendoza,M,6/22/1996,7/22/2014,9/9/2013
Harry,Coleman,M,5/10/2000,7/22/2014,3/5/2014
Scott,Fowler,M,4/28/1999,7/22/2014,12/26/2013
Eric,Jackson,M,7/12/2002,7/22/2014,1/31/2014
Douglas,Banks,M,8/26/2000,7/22/2014,2/16/2014
Jason,Sullivan,M,9/1/2006,7/22/2014,8/12/2013
George,Lee,M,12/23/2006,7/22/2014,12/23/2013
Todd,Simpson,M,6/10/2008,7/22/2014,1/29/2014
Timothy,Dunn,M,7/27/1996,7/22/2014,11/6/2013
Paul,White,M,10/17/1997,7/22/2014,3/14/2014
Patrick,Mendoza,M,3/20/2008,7/22/2014,2/18/2014
Harry,Lewis,M,4/9/2001,7/22/2014,2/13/2014
Jerry,King,M,2/16/2007,7/22/2014,4/7/2014
Ralph,Foster,M,8/23/1997,7/22/2014,9/1/2013
Jerry,Romero,M,11/12/2007,7/22/2014,12/7/2013
Jose,Grant,M,5/16/1996,7/22/2014,3/28/2014
Henry,Alexander,M,4/26/1999,7/22/2014,9/2/2013
Jesse,Morris,M,2/18/2007,7/22/2014,4/19/2014
Stephen,Oliver,M,12/15/2000,7/22/2014,11/29/2013
Harold,Kim,M,12/14/2007,7/22/2014,8/12/2013
Steven,James,M,6/17/2006,7/22/2014,2/27/2014
William,Alvarez,M,4/1/2008,7/22/2014,2/19/2014
Antonio,Bradley,M,6/19/1998,7/22/2014,5/25/2014
Christopher,Frazier,M,3/31/2005,7/22/2014,4/10/2014
Gary,Marshall,M,1/6/2004,7/22/2014,10/28/2013
Roger,Jackson,M,6/10/2002,7/22/2014,7/24/2013
Randy,Webb,M,5/18/2002,7/22/2014,7/21/2014
Alan,Ward,M,6/29/2000,7/22/2014,2/5/2014
Walter,Cruz,M,4/12/1999,7/22/2014,4/21/2014
Howard,Perry,M,2/5/2009,7/22/2014,10/18/2013
Edward,Brown,M,11/26/2000,7/22/2014,9/30/2013
Nicholas,Gomez,M,12/7/2001,7/22/2014,3/18/2014
Ralph,Hart,M,4/14/2006,7/22/2014,12/20/2013
Daniel,Meyer,M,4/3/2001,7/22/2014,7/28/2013
Joseph,Roberts,M,5/25/1999,7/22/2014,12/24/2013
Juan,Stewart,M,6/4/1997,7/22/2014,10/14/2013
Howard,Simmons,M,5/16/1999,7/22/2014,3/30/2014
Eric,Sullivan,M,6/27/2003,7/22/2014,12/30/2013
Lawrence,Bennett,M,8/21/2007,7/22/2014,5/27/2014
Harold,Cox,M,3/5/2007,7/22/2014,10/26/2013
Eric,Johnson,M,12/17/2005,7/22/2014,12/7/2013
Frank,Gilbert,M,9/4/2002,7/22/2014,12/8/2013
Brandon,Gutierrez,M,2/29/2000,7/22/2014,12/27/2013
Gary,Diaz,M,8/17/2003,7/22/2014,8/5/2013
Brian,Fuller,M,9/14/2006,7/22/2014,12/26/2013
Timothy,Baker,M,12/18/1999,7/22/2014,5/8/2014
George,Fields,M,1/24/1997,7/22/2014,6/16/2014
Lawrence,Nelson,M,1/12/2005,7/22/2014,11/9/2013
Andrew,Moreno,M,9/21/2002,7/22/2014,8/4/2013
Matthew,Jordan,M,11/1/2008,7/22/2014,8/26/2013
Jason,Oliver,M,4/22/1997,7/22/2014,12/7/2013
Jack,Rodriguez,M,4/1/2007,7/22/2014,4/7/2014
Carl,Schmidt,M,5/30/2008,7/22/2014,7/19/2014
Adam,Kelly,M,1/31/2001,7/22/2014,5/28/2014
Bobby,Chavez,M,10/3/1998,7/22/2014,6/6/2014
Gerald,Foster,M,2/27/2007,7/22/2014,12/26/2013
David,Bradley,M,12/26/1996,7/22/2014,9/9/2013
Roger,Thomas,M,11/4/2008,7/22/2014,8/10/2013
Wayne,Marshall,M,9/15/2004,7/22/2014,9/8/2013
Henry,Brown,M,7/11/2007,7/22/2014,1/23/2014
Louis,Foster,M,9/19/1997,7/22/2014,10/25/2013
Bruce,Wheeler,M,6/14/2002,7/22/2014,10/29/2013
Howard,Rose,M,3/3/1999,7/22/2014,12/8/2013
Terry,Cook,M,6/21/2007,7/22/2014,7/20/2014
John,Meyer,M,4/10/2009,7/22/2014,2/2/2014
Samuel,Lynch,M,10/24/2002,7/22/2014,5/14/2014
Patrick,Woods,M,1/27/1998,7/22/2014,7/11/2014
George,Rogers,M,12/8/2001,7/22/2014,9/17/2013
Steven,Hall,M,5/4/2002,7/22/2014,1/7/2014
Jimmy,Murray,M,6/30/2002,7/22/2014,7/15/2014
Paul,Murphy,M,10/8/2008,7/22/2014,1/7/2014
Jose,Williams,M,6/24/2005,7/22/2014,6/29/2014
Jimmy,Kim,M,1/12/2004,7/22/2014,6/24/2014
Craig,Gilbert,M,9/13/1997,7/22/2014,1/27/2014
Phillip,Reyes,M,1/21/2001,7/22/2014,11/27/2013
Alan,Johnston,M,3/4/2008,7/22/2014,10/18/2013
Walter,Gomez,M,10/4/2004,7/22/2014,10/26/2013
Samuel,Henderson,M,10/7/2004,7/22/2014,3/31/2014
Kevin,Lawrence,M,7/11/1996,7/22/2014,2/20/2014
Richard,Hill,M,9/2/2007,7/22/2014,10/2/2013
Craig,Richardson,M,11/24/2003,7/22/2014,5/25/2014
Earl,Nelson,M,1/4/1998,7/22/2014,11/21/2013
Harry,Graham,M,11/13/1996,7/22/2014,12/24/2013
Fred,Taylor,M,7/23/1999,7/22/2014,4/26/2014
Gerald,Franklin,M,1/17/2009,7/22/2014,7/5/2014
Ryan,Long,M,11/8/1997,7/22/2014,6/13/2014
Arthur,Ramirez,M,4/14/1997,7/22/2014,2/20/2014
Todd,Franklin,M,9/23/2006,7/22/2014,12/19/2013
Donald,Austin,M,5/13/1997,7/22/2014,8/18/2013
Joseph,Moore,M,11/20/1997,7/22/2014,9/21/2013
Benjamin,Duncan,M,5/20/2003,7/22/2014,8/6/2013
Douglas,Sullivan,M,1/28/2009,7/22/2014,4/14/2014
Juan,Murray,M,9/19/1998,7/22/2014,7/3/2014
Jonathan,Powell,M,5/19/1999,7/22/2014,12/4/2013
Kevin,Lee,M,10/18/2006,7/22/2014,12/7/2013
Matthew,Fox,M,11/5/2001,7/22/2014,10/14/2013
Joshua,Fowler,M,1/28/1999,7/22/2014,6/20/2014
Frank,Garza,M,9/4/2006,7/22/2014,5/22/2014
James,Ross,M,2/20/2008,7/22/2014,1/31/2014
Robert,Cole,M,3/1/2008,7/22/2014,4/13/2014
Aaron,Nichols,M,5/24/2003,7/22/2014,2/11/2014
Ralph,Lawrence,M,12/14/2008,7/22/2014,11/28/2013
Steve,Duncan,M,4/5/2009,7/22/2014,9/11/2013
Joshua,Schmidt,M,12/4/1998,7/22/2014,11/15/2013
Edward,Little,M,5/15/1999,7/22/2014,9/1/2013
Eric,Webb,M,12/14/2000,7/22/2014,6/9/2014
Roy,Hernandez,M,12/21/2005,7/22/2014,5/24/2014
Ryan,Bennett,M,1/13/2009,7/22/2014,9/9/2013
Joe,Hill,M,5/20/2006,7/22/2014,4/21/2014
Charles,Martinez,M,7/27/2002,7/22/2014,8/20/2013
Jerry,Roberts,M,7/13/2001,7/22/2014,12/24/2013
Jesse,Ramirez,M,7/25/2005,7/22/2014,1/31/2014
Lawrence,Crawford,M,4/15/2004,7/22/2014,3/31/2014
Robert,Martinez,M,4/29/2002,7/22/2014,3/26/2014
David,Perez,M,4/17/2004,7/22/2014,9/13/2013
Nicholas,Fernandez,M,11/4/2008,7/22/2014,2/17/2014
David,Palmer,M,9/21/2004,7/22/2014,12/17/2013
Matthew,Spencer,M,1/25/2004,7/22/2014,4/13/2014
Brian,Snyder,M,5/30/2005,7/22/2014,5/9/2014
Matthew,Lynch,M,1/3/1998,7/22/2014,12/7/2013
Brandon,Lee,M,7/2/1998,7/22/2014,1/4/2014
Robert,Fox,M,9/3/2008,7/22/2014,4/13/2014
Joseph,Edwards,M,5/29/2001,7/22/2014,8/3/2013
George,Jordan,M,10/14/1997,7/22/2014,5/6/2014
Adam,Murphy,M,9/23/2007,7/22/2014,7/24/2013
Lawrence,Long,M,7/29/2002,7/22/2014,6/4/2014
George,Rose,M,6/12/2002,7/22/2014,12/17/2013
Bobby,Morgan,M,8/3/2008,7/22/2014,1/2/2014
Keith,Jones,M,5/30/2004,7/22/2014,3/9/2014
Eugene,Wagner,M,12/31/2006,7/22/2014,12/20/2013
William,Fields,M,11/20/2000,7/22/2014,8/28/2013
Scott,Cooper,M,2/7/2008,7/22/2014,10/3/2013
Jack,Cruz,M,11/7/2004,7/22/2014,12/1/2013
Russell,Long,M,4/8/2005,7/22/2014,3/18/2014
Gary,Dean,M,1/4/2008,7/22/2014,6/21/2014
Nicholas,West,M,8/22/2004,7/22/2014,6/13/2014
Arthur,Medina,M,12/8/2004,7/22/2014,12/15/2013
Aaron,Welch,M,3/3/1997,7/22/2014,4/11/2014
Ralph,Owens,M,6/11/2003,7/22/2014,12/7/2013
Stephen,Pierce,M,6/7/1997,7/22/2014,7/30/2013
Nicholas,Cunningham,M,11/13/2003,7/22/2014,6/13/2014
Keith,Castillo,M,3/16/2003,7/22/2014,10/3/2013
Kenneth,Fuller,M,3/9/2001,7/22/2014,10/31/2013
Frank,Ruiz,M,12/21/1997,7/22/2014,6/15/2014
Craig,Carter,M,9/22/2005,7/22/2014,8/14/2013
Thomas,Lawson,M,11/18/2004,7/22/2014,11/16/2013
Craig,Grant,M,9/11/1998,7/22/2014,11/13/2013
Adam,Dean,M,9/18/2001,7/22/2014,11/10/2013
Sean,Bradley,M,2/23/2009,7/22/2014,3/22/2014
Walter,Fields,M,2/15/2005,7/22/2014,7/30/2013
John,Schmidt,M,4/8/2006,7/22/2014,12/15/2013
Dennis,Mills,M,7/4/2007,7/22/2014,12/17/2013
Victor,Hughes,M,8/2/1998,7/22/2014,8/14/2013
Jeffrey,West,M,1/22/2006,7/22/2014,2/15/2014
Stephen,Kim,M,5/19/2005,7/22/2014,9/1/2013
Jose,Powell,M,8/7/1997,7/22/2014,4/8/2014
Paul,Cunningham,M,7/3/2003,7/22/2014,6/5/2014
George,Castillo,M,4/12/1999,7/22/2014,9/10/2013
Carl,Morris,M,6/24/1997,7/22/2014,10/30/2013
Frank,Walker,M,6/29/2006,7/22/2014,9/26/2013
Anthony,Little,M,9/15/1998,7/22/2014,4/21/2014
Robert,Stanley,M,4/19/2006,7/22/2014,2/20/2014
Jose,Bryant,M,8/16/1996,7/22/2014,6/23/2014
James,Lynch,M,4/24/2002,7/22/2014,10/23/2013
Jonathan,Murphy,M,10/15/2001,7/22/2014,7/4/2014
Howard,Nguyen,M,7/21/2005,7/22/2014,2/7/2014
Louis,Miller,M,10/1/2002,7/22/2014,10/11/2013
James,Allen,M,8/27/2000,7/22/2014,4/16/2014
