first_name,last_name,gender,date_of_birth,time_entered,time_modified
Joyce,Parker,F,10/3/1999,7/22/2014,8/25/2013
Mildred,Frazier,F,5/29/2001,7/22/2014,4/18/2014
Ruth,Romero,F,3/23/2005,7/22/2014,2/25/2014
Michelle,Sullivan,F,7/23/2002,7/22/2014,12/15/2013
Theresa,Howell,F,5/15/2003,7/22/2014,12/24/2013
Tina,Moore,F,2/14/2009,7/22/2014,7/21/2014
Evelyn,Stewart,F,7/31/2007,7/22/2014,4/12/2014
Judy,Smith,F,8/2/2005,7/22/2014,2/4/2014
Theresa,Peters,F,4/9/2009,7/22/2014,12/7/2013
Denise,Tucker,F,4/12/2002,7/22/2014,4/28/2014
Judith,Berry,F,11/21/1996,7/22/2014,4/27/2014
Lori,Cooper,F,12/31/1999,7/22/2014,10/29/2013
Jessica,Bradley,F,12/14/2004,7/22/2014,2/24/2014
Heather,Alvarez,F,3/19/1999,7/22/2014,2/24/2014
Judy,Dunn,F,12/2/1997,7/22/2014,6/5/2014
Barbara,Lopez,F,9/30/1997,7/22/2014,11/3/2013
Melissa,Garza,F,6/16/2008,7/22/2014,10/2/2013
Lisa,Watson,F,8/31/2007,7/22/2014,7/26/2013
Jane,Moreno,F,6/25/1998,7/22/2014,10/21/2013
Elizabeth,Schmidt,F,7/27/2007,7/22/2014,9/24/2013
Kathleen,Thomas,F,1/23/2000,7/22/2014,12/25/2013
Jacqueline,Warren,F,11/22/1998,7/22/2014,7/2/2014
Lori,Baker,F,2/14/1998,7/22/2014,9/28/2013
Nancy,Gardner,F,6/27/2008,7/22/2014,6/2/2014
Ann,Garza,F,9/15/1996,7/22/2014,1/15/2014
Tina,Austin,F,1/22/2006,7/22/2014,6/7/2014
Annie,Fox,F,11/22/2003,7/22/2014,5/25/2014
Jacqueline,Burke,F,9/3/2001,7/22/2014,4/9/2014
Lisa,Gutierrez,F,3/16/2003,7/22/2014,3/19/2014
Maria,White,F,5/6/2000,7/22/2014,2/22/2014
Pamela,West,F,8/4/2006,7/22/2014,11/3/2013
Shirley,Hawkins,F,7/23/2002,7/22/2014,6/10/2014
Maria,Miller,F,11/23/2000,7/22/2014,6/24/2014
Marilyn,Ferguson,F,8/1/2003,7/22/2014,4/12/2014
Julie,Walker,F,5/25/1997,7/22/2014,2/19/2014
Melissa,Rice,F,10/16/2007,7/22/2014,7/12/2014
Angela,Ramirez,F,1/25/2000,7/22/2014,10/6/2013
Maria,Bailey,F,8/31/1999,7/22/2014,4/27/2014
Kelly,Robinson,F,10/3/1998,7/22/2014,10/25/2013
Janet,Wallace,F,3/6/2008,7/22/2014,4/5/2014
Patricia,Powell,F,8/2/2001,7/22/2014,9/1/2013
Barbara,Ryan,F,9/5/2000,7/22/2014,5/29/2014
Teresa,Coleman,F,9/27/2008,7/22/2014,8/8/2013
Jean,Hill,F,11/21/2002,7/22/2014,3/16/2014
Jessica,Hall,F,4/23/2008,7/22/2014,1/8/2014
Christine,Green,F,8/17/1996,7/22/2014,8/6/2013
Marilyn,Coleman,F,6/29/2000,7/22/2014,12/22/2013
Frances,Robinson,F,9/21/2002,7/22/2014,2/3/2014
Barbara,Smith,F,3/22/1997,7/22/2014,7/15/2014
Sandra,Bradley,F,12/2/2001,7/22/2014,2/9/2014
Anna,Young,F,10/27/2003,7/22/2014,1/12/2014
Evelyn,Cook,F,6/11/2004,7/22/2014,11/5/2013
Theresa,Russell,F,4/19/1998,7/22/2014,5/31/2014
Paula,Ruiz,F,7/22/1999,7/22/2014,7/9/2014
Nancy,Rodriguez,F,2/26/1998,7/22/2014,6/20/2014
Brenda,Ferguson,F,9/21/2008,7/22/2014,11/17/2013
Catherine,Adams,F,12/16/2007,7/22/2014,8/31/2013
Annie,Garrett,F,11/30/1996,7/22/2014,7/18/2014
Joyce,Adams,F,4/24/2009,7/22/2014,6/4/2014
Evelyn,Tucker,F,1/15/2005,7/22/2014,9/21/2013
Jacqueline,Martin,F,10/10/2006,7/22/2014,8/23/2013
Lori,Davis,F,6/5/2004,7/22/2014,12/17/2013
Lois,Webb,F,12/27/2002,7/22/2014,8/5/2013
Jacqueline,Adams,F,11/22/2002,7/22/2014,8/10/2013
Katherine,Burke,F,4/11/1997,7/22/2014,7/29/2013
Kathleen,Lawrence,F,8/28/2000,7/22/2014,9/3/2013
Lisa,Morrison,F,3/17/2009,7/22/2014,5/22/2014
Shirley,Holmes,F,5/28/2007,7/22/2014,1/22/2014
Brenda,Morris,F,9/22/2005,7/22/2014,4/2/2014
Rebecca,Cruz,F,1/24/2008,7/22/2014,7/31/2013
Judy,Henderson,F,2/14/1997,7/22/2014,7/6/2014
Emily,Schmidt,F,12/9/2008,7/22/2014,10/7/2013
Elizabeth,Burke,F,11/7/2008,7/22/2014,5/21/2014
Lillian,Fox,F,1/24/2000,7/22/2014,3/18/2014
Betty,Welch,F,1/24/2009,7/22/2014,3/27/2014
Dorothy,Kennedy,F,8/2/2000,7/22/2014,3/8/2014
Kelly,Elliott,F,10/11/1997,7/22/2014,11/22/2013
Ruby,Moreno,F,1/27/2003,7/22/2014,6/4/2014
Irene,Fox,F,9/13/2007,7/22/2014,5/13/2014
Susan,Williamson,F,6/19/1997,7/22/2014,4/12/2014
Kimberly,West,F,10/29/1999,7/22/2014,8/17/2013
Brenda,Larson,F,11/2/1998,7/22/2014,9/25/2013
Dorothy,Thompson,F,5/21/2008,7/22/2014,5/9/2014
Sandra,Chapman,F,7/2/1998,7/22/2014,12/10/2013
Linda,Collins,F,12/1/2005,7/22/2014,10/22/2013
Kathy,Cruz,F,11/23/1997,7/22/2014,11/18/2013
Ann,Chapman,F,3/30/1999,7/22/2014,12/17/2013
Kathleen,Fox,F,1/26/2003,7/22/2014,3/24/2014
Amy,Ryan,F,8/1/2006,7/22/2014,5/5/2014
Jessica,Watson,F,8/8/2007,7/22/2014,8/21/2013
Christina,Hall,F,5/21/2004,7/22/2014,10/9/2013
Linda,Torres,F,10/3/1997,7/22/2014,5/11/2014
Mildred,Garcia,F,10/5/2003,7/22/2014,12/17/2013
Marie,Gomez,F,11/29/2008,7/22/2014,7/22/2013
Robin,Lawson,F,2/17/2000,7/22/2014,4/1/2014
Kimberly,Lawson,F,1/21/1997,7/22/2014,2/24/2014
Jean,Green,F,10/12/2006,7/22/2014,4/26/2014
Sarah,Marshall,F,12/18/2003,7/22/2014,12/20/2013
Lisa,Black,F,6/21/2000,7/22/2014,12/24/2013
Dorothy,Fox,F,6/25/2001,7/22/2014,4/3/2014
Amy,Brown,F,9/15/2002,7/22/2014,7/7/2014
Rachel,Anderson,F,9/2/2006,7/22/2014,1/28/2014
Irene,Howell,F,2/21/2001,7/22/2014,6/15/2014
Michelle,Cruz,F,2/7/2007,7/22/2014,10/25/2013
Diane,Wright,F,7/12/1998,7/22/2014,8/9/2013
Nancy,Russell,F,6/9/2002,7/22/2014,1/29/2014
Catherine,Coleman,F,3/31/2006,7/22/2014,6/2/2014
Denise,Martinez,F,12/30/2004,7/22/2014,11/4/2013
Marie,Johnston,F,6/25/2001,7/22/2014,1/9/2014
Robin,Miller,F,8/19/2001,7/22/2014,4/3/2014
Ruth,Russell,F,7/4/2000,7/22/2014,1/25/2014
Denise,Fernandez,F,4/15/2001,7/22/2014,8/3/2013
Jacqueline,Walker,F,7/30/2008,7/22/2014,1/19/2014
Katherine,Peterson,F,7/29/2008,7/22/2014,12/17/2013
Bonnie,King,F,11/8/2003,7/22/2014,2/25/2014
Catherine,Sanchez,F,8/4/2006,7/22/2014,10/16/2013
Nancy,Mcdonald,F,2/25/2007,7/22/2014,5/18/2014
Mildred,Carter,F,1/6/2002,7/22/2014,1/6/2014
Katherine,Wells,F,6/20/2004,7/22/2014,3/16/2014
Irene,Lee,F,12/6/2001,7/22/2014,12/10/2013
Catherine,Owens,F,10/19/1999,7/22/2014,12/10/2013
Emily,Gonzalez,F,3/8/1999,7/22/2014,6/7/2014
Katherine,Perry,F,2/8/2001,7/22/2014,10/23/2013
Andrea,Green,F,7/10/2008,7/22/2014,3/7/2014
Elizabeth,Banks,F,2/20/1999,7/22/2014,7/6/2014
Judith,Collins,F,6/19/2005,7/22/2014,4/23/2014
Doris,Fields,F,3/12/2001,7/22/2014,4/19/2014
Katherine,Lynch,F,5/22/1997,7/22/2014,1/9/2014
Christina,Long,F,5/23/1999,7/22/2014,11/11/2013
Amanda,Hanson,F,4/28/2008,7/22/2014,4/25/2014
Laura,Howell,F,10/4/1998,7/22/2014,4/23/2014
Joyce,Flores,F,3/25/2002,7/22/2014,3/20/2014
Andrea,Cunningham,F,3/3/2000,7/22/2014,8/16/2013
Martha,Kim,F,12/18/2008,7/22/2014,8/28/2013
Annie,Wilson,F,11/10/2004,7/22/2014,12/6/2013
Ann,Carr,F,9/8/2002,7/22/2014,3/3/2014
Lisa,Austin,F,5/4/2000,7/22/2014,4/12/2014
Susan,Johnson,F,4/7/2009,7/22/2014,3/22/2014
Michelle,Collins,F,12/12/2005,7/22/2014,5/12/2014
Joyce,Bailey,F,8/15/2002,7/22/2014,7/31/2013
Frances,Sanchez,F,9/7/2002,7/22/2014,7/2/2014
Judith,Hunt,F,4/3/2007,7/22/2014,5/9/2014
Shirley,Fowler,F,9/29/2000,7/22/2014,5/26/2014
Tammy,Smith,F,11/6/2007,7/22/2014,8/12/2013
Stephanie,Garcia,F,5/22/2001,7/22/2014,10/11/2013
Doris,Burns,F,12/16/2002,7/22/2014,2/23/2014
Doris,Ellis,F,2/23/2005,7/22/2014,3/3/2014
Patricia,Hunt,F,7/26/1996,7/22/2014,1/7/2014
Helen,Baker,F,3/10/2006,7/22/2014,12/9/2013
Mary,Gonzalez,F,9/26/2008,7/22/2014,1/21/2014
Annie,Wallace,F,8/24/1997,7/22/2014,9/30/2013
Heather,Cruz,F,4/8/2000,7/22/2014,9/9/2013
Kathy,Dean,F,6/23/2006,7/22/2014,9/22/2013
Diana,Hicks,F,2/4/1998,7/22/2014,5/28/2014
Theresa,Scott,F,5/7/1997,7/22/2014,8/27/2013
Anne,Wallace,F,12/16/2002,7/22/2014,6/27/2014
Lois,Clark,F,1/5/1998,7/22/2014,3/10/2014
Frances,Garza,F,6/15/2008,7/22/2014,7/29/2013
Beverly,Hudson,F,11/4/2005,7/22/2014,11/26/2013
Janet,Hudson,F,3/4/1998,7/22/2014,5/24/2014
Judith,Garrett,F,11/28/1996,7/22/2014,2/20/2014
Janice,Ward,F,5/17/1997,7/22/2014,10/26/2013
Stephanie,Alexander,F,3/21/2006,7/22/2014,4/15/2014
Sara,Henry,F,7/12/2008,7/22/2014,6/11/2014
Cynthia,Morales,F,11/14/2000,7/22/2014,9/19/2013
Margaret,Hudson,F,10/21/2003,7/22/2014,12/1/2013
Sandra,Meyer,F,2/13/2008,7/22/2014,1/12/2014
Carolyn,Smith,F,8/8/2003,7/22/2014,7/17/2014
Helen,Armstrong,F,11/27/2000,7/22/2014,3/20/2014
Shirley,Cox,F,6/30/1999,7/22/2014,10/24/2013
Kelly,Garza,F,10/27/2003,7/22/2014,4/30/2014
Melissa,Jacobs,F,1/13/1998,7/22/2014,7/12/2014
Teresa,Morgan,F,12/11/2007,7/22/2014,5/19/2014
Christine,Lee,F,4/5/2001,7/22/2014,8/29/2013
Alice,Reid,F,10/12/2008,7/22/2014,2/18/2014
Doris,Carr,F,2/18/2003,7/22/2014,12/25/2013
Melissa,Davis,F,12/1/1997,7/22/2014,8/13/2013
Janice,Payne,F,8/30/1999,7/22/2014,4/28/2014
Shirley,Hawkins,F,2/27/2006,7/22/2014,1/9/2014
Phyllis,Mendoza,F,12/4/2001,7/22/2014,12/24/2013
Ann,Lewis,F,5/30/2003,7/22/2014,9/29/2013
Phyllis,Mitchell,F,7/9/1998,7/22/2014,3/24/2014
Maria,Garcia,F,4/15/2004,7/22/2014,12/29/2013
Joyce,Russell,F,12/28/2002,7/22/2014,5/15/2014
Louise,Ramirez,F,9/1/2005,7/22/2014,5/26/2014
Judith,Allen,F,1/1/2009,7/22/2014,2/2/2014
Brenda,Stone,F,4/22/2003,7/22/2014,12/26/2013
Rachel,Miller,F,8/18/1996,7/22/2014,2/14/2014
Catherine,Mills,F,10/6/1998,7/22/2014,12/10/2013
Catherine,Romero,F,11/13/1999,7/22/2014,12/4/2013
Andrea,Hamilton,F,10/7/2002,7/22/2014,10/28/2013
Kathy,Bell,F,8/17/2005,7/22/2014,1/22/2014
Christine,Carter,F,12/22/1999,7/22/2014,11/28/2013
Judith,Young,F,8/23/2001,7/22/2014,6/12/2014
Sarah,Hunt,F,2/5/2009,7/22/2014,10/28/2013
Lillian,Carpenter,F,3/23/2001,7/22/2014,4/22/2014
Debra,Cooper,F,6/10/1998,7/22/2014,4/30/2014
Sandra,Howell,F,2/22/2000,7/22/2014,3/21/2014
Donna,Ramirez,F,5/10/2008,7/22/2014,5/25/2014
Beverly,Robinson,F,3/25/2003,7/22/2014,12/4/2013
Lisa,Kennedy,F,12/5/2004,7/22/2014,8/9/2013
Ruby,Sims,F,1/29/2006,7/22/2014,3/5/2014
Angela,Morris,F,6/8/2005,7/22/2014,2/28/2014
Amy,Collins,F,2/17/2003,7/22/2014,8/30/2013
Kelly,Anderson,F,1/27/2009,7/22/2014,9/20/2013
Phyllis,Schmidt,F,10/24/1998,7/22/2014,12/31/2013
Tina,Carpenter,F,2/28/2004,7/22/2014,2/24/2014
Melissa,Peterson,F,3/29/2005,7/22/2014,6/30/2014
Marie,Arnold,F,10/1/2002,7/22/2014,3/25/2014
Bonnie,Wilson,F,11/12/1996,7/22/2014,3/10/2014
Nicole,Andrews,F,4/17/2008,7/22/2014,6/17/2014
Sharon,Hicks,F,2/23/2006,7/22/2014,8/18/2013
Irene,Daniels,F,5/13/2002,7/22/2014,5/19/2014
Marilyn,James,F,1/14/2006,7/22/2014,12/10/2013
Jacqueline,Hart,F,12/18/2006,7/22/2014,12/2/2013
Julie,Gomez,F,7/28/1998,7/22/2014,8/10/2013
Margaret,Kelly,F,8/22/1998,7/22/2014,7/30/2013
Virginia,Alexander,F,7/18/2004,7/22/2014,3/30/2014
Jean,Ray,F,7/12/1996,7/22/2014,6/12/2014
Lori,Thompson,F,9/21/1999,7/22/2014,1/31/2014
Rachel,Porter,F,12/14/2004,7/22/2014,5/29/2014
Denise,Rogers,F,10/15/1996,7/22/2014,6/1/2014
Jennifer,Powell,F,2/11/2001,7/22/2014,6/18/2014
